z,H_z_kms_Mpc
4.280000000000003,464.112
4.290000000000003,465.412
4.3000000000000025,466.713
4.310000000000003,468.016
4.320000000000003,469.319
4.330000000000003,470.625
4.3400000000000025,471.931
4.350000000000003,473.238
4.360000000000003,474.547
4.370000000000003,475.858
4.380000000000003,477.169
4.390000000000003,478.482
4.400000000000003,479.796
4.410000000000003,481.111
4.420000000000003,482.427
4.430000000000003,483.745
4.440000000000003,485.064
4.450000000000003,486.385
4.460000000000003,487.706
4.470000000000003,489.029
4.480000000000003,490.353
4.490000000000003,491.678
4.500000000000003,493.005
4.510000000000003,494.333
4.520000000000003,495.662
4.530000000000003,496.992
4.540000000000003,498.324
4.550000000000003,499.657
4.560000000000003,500.991
4.570000000000003,502.326
4.580000000000003,503.663
4.590000000000003,505.0
4.600000000000003,506.339
4.610000000000003,507.68
4.620000000000003,509.021
4.6300000000000034,510.364
4.640000000000003,511.708
4.650000000000003,513.053
4.660000000000003,514.4
4.6700000000000035,515.747
4.680000000000003,517.096
4.690000000000003,518.447
4.700000000000003,519.798
4.7100000000000035,521.151
4.720000000000003,522.504
4.730000000000003,523.86
4.740000000000003,525.216
4.7500000000000036,526.573
4.760000000000003,527.932
4.770000000000003,529.292
4.780000000000003,530.653
4.790000000000004,532.016
4.800000000000003,533.379
4.810000000000003,534.744
4.820000000000003,536.11
4.830000000000004,537.477
4.840000000000003,538.846
4.850000000000003,540.216
4.860000000000003,541.586
4.870000000000004,542.959
4.8800000000000034,544.332
4.890000000000003,545.706
4.900000000000003,547.082
4.910000000000004,548.459
4.9200000000000035,549.837
4.930000000000003,551.216
4.940000000000003,552.597
4.950000000000004,553.979
4.9600000000000035,555.362
4.970000000000003,556.746
4.980000000000003,558.131
4.990000000000004,559.517
5.0000000000000036,560.905
5.010000000000003,562.294
5.020000000000003,563.684
5.030000000000003,565.075
5.040000000000004,566.468
5.050000000000003,567.861
5.060000000000003,569.256
5.070000000000004,570.652
5.080000000000004,572.049
5.090000000000003,573.448
5.100000000000003,574.847
5.110000000000003,576.248
